player;team;country;lane;date;kda;kills;deaths;assists;gold;cs;wards;ttldmgchamps
H2K Odoamne;H2K;United Kingdom;TOP;19/01/2017;9,00;2;1;7;14211;294;15;16886
H2K Jankos;H2K;United Kingdom;JUNGLE;19/01/2017;5,00;5;2;5;13619;35;10;15670
H2K Febiven;H2K;United Kingdom;MIDDLE;19/01/2017;10,00;4;0;6;15790;316;14;27703
H2K Nuclear;H2K;United Kingdom;BOTTOM;19/01/2017;3,00;2;3;7;14314;270;14;14452
H2K Chei;H2K;United Kingdom;BOTTOM;19/01/2017;8,00;0;1;8;10133;29;45;10128
H2K Odoamne;H2K;United Kingdom;TOP;19/01/2017;5,00;5;3;10;16804;304;16;18769
H2K Jankos;H2K;United Kingdom;JUNGLE;19/01/2017;3,25;6;4;7;16959;79;18;23752
H2K Febiven;H2K;United Kingdom;MIDDLE;19/01/2017;4,67;6;3;8;18872;378;23;34919
H2K Nuclear;H2K;United Kingdom;BOTTOM;19/01/2017;11,00;4;1;7;19108;383;14;24500
H2K Chei;H2K;United Kingdom;BOTTOM;19/01/2017;3,33;2;3;8;12076;30;64;12889
H2K Odoamne;H2K;United Kingdom;TOP;21/01/2017;9,50;2;2;17;12614;225;13;34087
H2K Jankos;H2K;United Kingdom;JUNGLE;21/01/2017;19,00;7;1;12;12603;33;37;8768
H2K Febiven;H2K;United Kingdom;MIDDLE;21/01/2017;19,00;9;0;10;14029;227;13;14944
H2K Nuclear;H2K;United Kingdom;BOTTOM;21/01/2017;15,00;6;1;9;12545;190;13;14748
H2K Chei;H2K;United Kingdom;BOTTOM;21/01/2017;8,00;0;2;16;8778;34;32;7737
H2K Odoamne;H2K;United Kingdom;TOP;21/01/2017;2,75;3;4;8;11567;196;14;18965
H2K Jankos;H2K;United Kingdom;JUNGLE;21/01/2017;7,00;8;2;6;11401;17;12;13901
H2K Febiven;H2K;United Kingdom;MIDDLE;21/01/2017;4,50;5;2;4;12270;216;16;15087
H2K Nuclear;H2K;United Kingdom;BOTTOM;21/01/2017;13,00;5;1;8;12730;223;7;16217
H2K Chei;H2K;United Kingdom;BOTTOM;21/01/2017;13,00;1;1;12;8252;30;32;3161
H2K Odoamne;H2K;United Kingdom;TOP;28/01/2017;1,50;2;4;4;14721;325;15;19769
H2K Jankos;H2K;United Kingdom;JUNGLE;28/01/2017;4,00;2;2;6;13789;52;20;14230
H2K Febiven;H2K;United Kingdom;MIDDLE;28/01/2017;1,50;3;4;3;15290;332;17;15634
H2K Nuclear;H2K;United Kingdom;JUNGLE;28/01/2017;1,60;1;5;7;13838;290;13;11177
H2K Chei;H2K;United Kingdom;JUNGLE;28/01/2017;1,40;1;5;6;10705;40;67;11639
UOL Vizicsacsi;UOL;Germany;TOP;28/01/2017;18,00;6;1;12;19111;399;18;25031
UOL Xerxe;UOL;Germany;JUNGLE;28/01/2017;17,00;0;1;17;13712;21;10;6468
UOL Exileh;UOL;Germany;MIDDLE;28/01/2017;5,67;10;3;7;18365;361;20;25251
UOL Samux;UOL;Germany;BOTTOM;28/01/2017;16,00;4;1;12;15780;333;13;27846
UOL Hylissang;UOL;Germany;BOTTOM;28/01/2017;5,33;0;3;16;10631;60;46;7065
H2K Odoamne;H2K;United Kingdom;TOP;28/01/2017;5,00;3;2;7;13426;291;16;14630
H2K Jankos;H2K;United Kingdom;JUNGLE;28/01/2017;2,33;4;3;3;10854;18;15;10396
H2K Febiven;H2K;United Kingdom;MIDDLE;28/01/2017;6,00;4;0;2;13776;291;20;11831
H2K Nuclear;H2K;United Kingdom;BOTTOM;28/01/2017;8,00;3;1;5;13066;278;16;15904
H2K Chei;H2K;United Kingdom;BOTTOM;28/01/2017;3,50;0;2;7;8466;16;46;7536
UOL Vizicsacsi;UOL;Germany;TOP;28/01/2017;0,80;2;5;2;11822;275;17;13377
UOL Xerxe;UOL;Germany;JUNGLE;28/01/2017;3,00;0;2;6;8704;11;11;6253
UOL Exileh;UOL;Germany;MIDDLE;28/01/2017;3,50;5;2;2;12651;282;13;8044
UOL Samux;UOL;Germany;BOTTOM;28/01/2017;2,00;1;2;3;9627;218;10;6413
UOL Hylissang;UOL;Germany;BOTTOM;28/01/2017;0,75;0;4;3;6421;17;41;3106
UOL Vizicsacsi;UOL;Germany;TOP;28/01/2017;10,00;4;2;16;16751;310;23;23113
UOL Xerxe;UOL;Germany;JUNGLE;28/01/2017;4,50;7;4;11;15959;32;10;18984
UOL Exileh;UOL;Germany;MIDDLE;28/01/2017;4,50;5;4;13;17868;349;21;23359
UOL Samux;UOL;Germany;BOTTOM;28/01/2017;3,75;6;4;9;16787;283;11;21285
UOL Hylissang;UOL;Germany;BOTTOM;28/01/2017;3,40;3;5;14;12788;37;56;19465
H2K Odoamne;H2K;United Kingdom;TOP;28/01/2017;1,43;3;7;7;14665;304;18;20736
H2K Jankos;H2K;United Kingdom;JUNGLE;28/01/2017;4,00;7;4;9;13967;27;47;14313
H2K Febiven;H2K;United Kingdom;MIDDLE;28/01/2017;2,60;5;5;8;16086;325;19;33339
H2K Nuclear;H2K;United Kingdom;BOTTOM;28/01/2017;3,25;3;4;10;14580;260;15;22847
H2K Chei;H2K;United Kingdom;BOTTOM;28/01/2017;3,00;1;5;14;10517;34;79;4542
H2K Odoamne;H2K;United Kingdom;TOP;03/02/2017;1,50;0;4;6;11398;273;14;9103
H2K Jankos;H2K;United Kingdom;JUNGLE;03/02/2017;2,67;3;3;5;10094;33;13;10605
H2K Febiven;H2K;United Kingdom;MIDDLE;03/02/2017;2,00;1;2;3;12748;321;16;14457
H2K Nuclear;H2K;United Kingdom;BOTTOM;03/02/2017;3,50;6;2;1;13737;299;12;18811
H2K Chei;H2K;United Kingdom;BOTTOM;03/02/2017;6,00;1;1;5;8907;28;50;11710
H2K Odoamne;H2K;United Kingdom;TOP;03/02/2017;9,00;4;1;5;12209;240;16;17024
H2K Jankos;H2K;United Kingdom;JUNGLE;03/02/2017;9,00;5;1;4;10930;22;11;10728
