player;team;country;lane;ngame;kda;kills;deaths;assists;gold;cs;wards;ttldmgchamps
Odoamne;H2K;United Kingdom;top;1;6,75;15;4;12;15745;190;9;35604
Odoamne;H2K;United Kingdom;top;2;1,17;4;6;3;8941;187;8;15885
Odoamne;H2K;United Kingdom;top;3;4,00;15;7;13;17083;12;8;18838
Odoamne;H2K;United Kingdom;top;4;2,14;8;7;7;15172;9;4;15867
Odoamne;H2K;United Kingdom;top;5;3,00;12;8;12;14654;6;6;20398
Odoamne;H2K;United Kingdom;top;6;4,40;12;5;10;15534;12;5;23197
Odoamne;H2K;United Kingdom;top;7;2,71;9;7;10;15650;18;4;15007
Odoamne;H2K;United Kingdom;top;8;1,50;6;10;9;8813;29;0;16295
Odoamne;H2K;United Kingdom;top;9;1,00;3;5;2;8669;178;11;12474
Odoamne;H2K;United Kingdom;top;10;3,22;12;9;17;21585;350;19;55732
Jankos;H2K;United Kingdom;jun;1;3,57;8;7;17;19276;313;25;37858
Jankos;H2K;United Kingdom;jun;2;2,43;3;7;14;15705;71;52;29182
Jankos;H2K;United Kingdom;jun;3;2,14;6;7;9;11024;25;28;12531
Jankos;H2K;United Kingdom;jun;4;7,00;7;2;7;10846;31;20;9857
Jankos;H2K;United Kingdom;jun;5;1,60;3;5;5;7951;21;6;7349
Jankos;H2K;United Kingdom;jun;6;1,43;2;7;8;9399;44;10;11035
Jankos;H2K;United Kingdom;jun;7;0,17;1;6;0;4248;77;4;3122
Jankos;H2K;United Kingdom;jun;8;3,60;9;5;9;15604;69;14;27003
Jankos;H2K;United Kingdom;jun;9;5,00;6;3;9;11006;17;15;14326
Jankos;H2K;United Kingdom;jun;10;0,67;0;3;2;3678;0;6;2120
Febiven;H2K;United Kingdom;mid;1;1,00;7;9;2;9427;148;7;15857
Febiven;H2K;United Kingdom;mid;2;1,54;11;13;9;16246;241;13;28162
Febiven;H2K;United Kingdom;mid;3;9,00;6;0;3;11128;187;10;11814
Febiven;H2K;United Kingdom;mid;4;6,50;10;2;3;10866;161;10;16314
Febiven;H2K;United Kingdom;mid;5;2,10;12;10;9;17739;7;11;27270
Febiven;H2K;United Kingdom;mid;6;2,00;1;4;7;9418;195;11;16769
Febiven;H2K;United Kingdom;mid;7;1,71;7;7;5;11416;168;12;18515
Febiven;H2K;United Kingdom;mid;8;2,75;11;8;11;15136;205;17;33088
Febiven;H2K;United Kingdom;mid;9;2,40;6;5;6;11138;214;13;21519
Febiven;H2K;United Kingdom;mid;10;2,75;5;4;6;9817;154;7;14942
Nuclear;H2K;United Kingdom;adc;1;1,00;1;0;0;4093;74;3;1764
Nuclear;H2K;United Kingdom;adc;2;16,00;5;1;11;11798;177;10;14434
Nuclear;H2K;United Kingdom;adc;3;2,43;13;7;4;13708;215;13;25035
Nuclear;H2K;United Kingdom;adc;4;5,20;12;5;14;14987;199;12;35113
Nuclear;H2K;United Kingdom;adc;5;2,80;6;5;8;13904;228;12;21005
Nuclear;H2K;United Kingdom;adc;6;4,00;10;5;10;24423;501;17;59026
Nuclear;H2K;United Kingdom;adc;7;3,75;7;4;8;12288;178;13;15083
Nuclear;H2K;United Kingdom;adc;8;1,00;3;9;6;12799;25;6;12640
Nuclear;H2K;United Kingdom;adc;9;5,50;11;4;11;13625;190;10;23478
Nuclear;H2K;United Kingdom;adc;10;13,00;9;1;4;10501;175;8;14494
Chei;H2K;United Kingdom;sup;1;2,67;6;6;10;13724;80;42;29377
Chei;H2K;United Kingdom;sup;2;2,11;8;9;11;14263;47;54;23148
Chei;H2K;United Kingdom;sup;3;1,80;4;5;5;6722;13;24;5895
Chei;H2K;United Kingdom;sup;4;4,75;4;4;15;10183;24;37;11440
Chei;H2K;United Kingdom;sup;5;1,38;1;8;10;6388;18;21;8796
Chei;H2K;United Kingdom;sup;6;2,00;4;5;6;9203;162;11;10460
Chei;H2K;United Kingdom;sup;7;7,50;8;2;7;8831;127;7;15894
Chei;H2K;United Kingdom;sup;8;1,33;2;6;6;7015;18;31;10547
Chei;H2K;United Kingdom;sup;9;0,92;2;12;9;9361;30;13;13468
Chei;H2K;United Kingdom;sup;10;2,57;9;7;9;17370;297;14;46644
Expect;G2 Esports;Spain;top;1;0,38;2;8;1;6123;99;4;5662
Expect;G2 Esports;Spain;top;2;0,75;3;8;3;9142;57;12;13493
Expect;G2 Esports;Spain;top;3;16,00;10;1;6;10667;138;9;19379
Expect;G2 Esports;Spain;top;4;5,50;5;2;6;9101;152;11;13391
Expect;G2 Esports;Spain;top;5;1,07;8;14;7;13225;204;16;25035
Expect;G2 Esports;Spain;top;6;7,00;21;5;14;19400;215;16;52801
Expect;G2 Esports;Spain;top;7;3,67;7;3;4;11734;185;11;12838
Expect;G2 Esports;Spain;top;8;0,50;0;2;1;5376;114;4;5743
Expect;G2 Esports;Spain;top;9;3,33;7;3;3;8383;51;7;12293
Expect;G2 Esports;Spain;top;10;9,00;5;0;4;6278;85;3;7450
Trick;G2 Esports;Spain;jun;1;0,75;4;8;2;9491;199;7;12952
Trick;G2 Esports;Spain;jun;2;1,18;4;11;9;17194;75;52;16014
Trick;G2 Esports;Spain;jun;3;3,00;15;6;3;11698;144;5;28305
Trick;G2 Esports;Spain;jun;4;3,00;3;1;0;5680;3;7;2480
Trick;G2 Esports;Spain;jun;5;2,43;5;7;12;10830;17;13;18327
Trick;G2 Esports;Spain;jun;6;1,50;10;10;5;14092;52;18;39402
Trick;G2 Esports;Spain;jun;7;1,80;8;10;10;11826;30;8;23391
Trick;G2 Esports;Spain;jun;8;0,50;1;2;0;3147;0;4;1421
